repository,issue_number,title,html_url,state,relevance_score,labels,matched_fs_keywords,matched_perf_keywords,author,created_at,body_snippet
dask/dask,12060,Significant slowdown in loading remote xarray dataset since 2025.5.0,https://github.com/dask/dask/issues/12060,open,24,"needs attention, needs triage",gcsfs,"i/o, io, slow, stall",Metamess,2025-09-01T17:06:06Z,"**Describe the issue**: Calling `.load()` or `.compute()` on an xarray dataset created by concatenating and slicing zarr datasets from a cloud bucket has seen a severe (factor ~50) slowdown between dask 2025.4.1 and 2025.5.0. I have not been able to replicate this slowdown with zarrs stored locally,..."
dask/dask,12359,'cumsum' results differ from 'cumsum' on a pure numpy array,https://github.com/dask/dask/issues/12359,open,21,"array, needs attention, bug",mmap,"chunk_size, io, stall",muttener,2026-04-23T09:02:47Z,<!-- Please include a self-contained copy-pastable example that generates the issue if possible. Please be concise with code posted. See guidelines below on how to provide a good bug report: - Craft Minimal Bug Reports http://matthewrocklin.com/blog/work/2018/02/28/minimal-bug-reports - Minimal Comp...
pandas-dev/pandas,66615,BUG: Inconsistent date time handling with serialized data,https://github.com/pandas-dev/pandas/issues/66615,open,34,"Bug, IO JSON, Needs Triage, Closing Candidate","fsspec, gcsfs, s3fs","bottleneck, hang, i/o, io, stall, stalled",nanthony007,2026-08-04T02:48:38Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [ ] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,66514,BUG: object of type 'list_iterator' has no len(),https://github.com/pandas-dev/pandas/issues/66514,open,31,"Bug, Needs Discussion","fsspec, gcsfs, s3fs","bottleneck, hang, io, stall, stalled",loicdiridollou,2026-07-28T21:37:45Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [x] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,65915,BUG: Plotting with timezone-aware and normalized `DatetimeIndex` drops tz-info,https://github.com/pandas-dev/pandas/issues/65915,open,31,"Bug, Visualization, Needs Discussion","fsspec, gcsfs, s3fs","bottleneck, hang, io, stall, stalled",Julian-Harbeck,2026-06-20T02:57:28Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [x] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,66378,"DOC: `read_{csv,excel}` skip rows (columns) above (before) header (index columns)",https://github.com/pandas-dev/pandas/issues/66378,open,28,"Docs, IO CSV, IO Excel","fsspec, gcsfs, s3fs","bottleneck, io, stall, stalled",kuraga,2026-07-19T13:03:43Z,- [x] I have checked that the issue still exists on the latest versions of the docs on main [here](https://pandas.pydata.org/docs/dev/). (Part of #34766.) [test.csv](https://github.com/user-attachments/files/30165155/test.csv) [test.xlsx](https://github.com/user-attachments/files/30165203/test.xlsx)...
pandas-dev/pandas,66377,API: `read_excel`: `.index.names` vs `.columns.names`,https://github.com/pandas-dev/pandas/issues/66377,open,28,"API Design, IO CSV, IO Excel, API - Consistency","fsspec, gcsfs, s3fs","bottleneck, io, stall, stalled",kuraga,2026-07-19T12:38:33Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [ ] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,66376,"BUG: `read_{csv,excel}(<...>, header=[0,1], index_col=[0,1])` take different `.columns.names`",https://github.com/pandas-dev/pandas/issues/66376,open,28,"Bug, IO CSV, IO Excel, MultiIndex, API - Consistency","fsspec, gcsfs, s3fs","bottleneck, io, stall, stalled",kuraga,2026-07-19T11:20:45Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [ ] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,66372,"BUG: `read_excel`: `ValueError: Length of new names must be 1, got 2`",https://github.com/pandas-dev/pandas/issues/66372,open,28,"Bug, IO Excel","fsspec, gcsfs, s3fs","bottleneck, io, stall, stalled",kuraga,2026-07-19T10:02:31Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [ ] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
pandas-dev/pandas,65805,"BUG:  DataFrame.add(fill_value=...) promotes nullable integer dtypes to Float64, inconsistent with Series",https://github.com/pandas-dev/pandas/issues/65805,open,28,"Bug, Dtype Conversions, Numeric Operations","fsspec, gcsfs, s3fs","bottleneck, io, stall, stalled",arnaudlegout,2026-06-03T17:01:53Z,### Pandas version checks - [x] I have checked that this issue has not already been reported. - [x] I have confirmed this bug exists on the [latest version](https://pandas.pydata.org/docs/whatsnew/index.html) of pandas. - [ ] I have confirmed this bug exists on the [main branch](https://pandas.pydat...
