repository,file_path,line_number,target_name,cache_type,is_explicit,strategy_category,cache_options,enclosing_class,enclosing_function,file_url,code_snippet
dask/dask,dask/array/core.py,6112,open,NOT_EXPLICIT,False,Implicit Default,None,None,to_npy_stack,https://github.com/dask/dask/blob/main/dask/array/core.py#L6112,"    with open(os.path.join(dirname, ""info""), ""wb"") as f:"
dask/dask,dask/array/core.py,6139,open,NOT_EXPLICIT,False,Implicit Default,None,None,from_npy_stack,https://github.com/dask/dask/blob/main/dask/array/core.py#L6139,"    with open(os.path.join(dirname, ""info""), ""rb"") as f:"
dask/dask,dask/bag/avro.py,67,OpenFile,NOT_EXPLICIT,False,Implicit Default,None,None,open_head,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L67,"    with OpenFile(fs, path, compression=compression) as f:"
dask/dask,dask/bag/avro.py,123,OpenFile,NOT_EXPLICIT,False,Implicit Default,None,None,read_avro,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L123,"            f = OpenFile(fs, path, compression=compression)"
dask/dask,dask/bag/avro.py,136,open_files,NOT_EXPLICIT,False,Implicit Default,None,None,read_avro,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L136,"        files = open_files(urlpath, compression=compression, **storage_options)"
dask/dask,dask/bag/avro.py,152,read_block,NOT_EXPLICIT,False,Implicit Default,None,None,read_chunk,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L152,"        chunk = read_block(f, off, l, head[""sync""])"
dask/dask,dask/bag/avro.py,256,open_files,NOT_EXPLICIT,False,Implicit Default,None,None,to_avro,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L256,"    files = open_files(         filename,         ""wb"",         name_function=name_function,         num=b.npartitions,         **storage_options,     )"
dask/dask,dask/bag/core.py,259,open_files,NOT_EXPLICIT,False,Implicit Default,None,None,to_textfiles,https://github.com/dask/dask/blob/main/dask/bag/core.py#L259,"    files = open_files(         path,         compression=compression,         mode=mode,         encoding=encoding,         name_function=name_function,         num=b.npartitions,         **(storage_options or {}),     )"
dask/dask,dask/bag/text.py,100,open_files,NOT_EXPLICIT,False,Implicit Default,None,None,read_text,https://github.com/dask/dask/blob/main/dask/bag/text.py#L100,"        files = open_files(             urlpath,             mode=""rt"",             encoding=encoding,             errors=errors,             compression=compression,             newline=newline,             **(storage_options or {}),         )"
dask/dask,dask/bytes/core.py,153,OpenFile,NOT_EXPLICIT,False,Implicit Default,None,None,read_bytes,https://github.com/dask/dask/blob/main/dask/bytes/core.py#L153,"                OpenFile(fs, path, compression=compression),"
