repository,file_path,line_number,target_name,cache_type,is_specified_cache_keyword,cache_options,enclosing_class,enclosing_function,file_url,code_snippet
dask/dask,dask/array/core.py,6112,open,NOT_EXPLICIT,False,None,None,to_npy_stack,https://github.com/dask/dask/blob/main/dask/array/core.py#L6112,"    with open(os.path.join(dirname, ""info""), ""wb"") as f:"
dask/dask,dask/array/core.py,6139,open,NOT_EXPLICIT,False,None,None,from_npy_stack,https://github.com/dask/dask/blob/main/dask/array/core.py#L6139,"    with open(os.path.join(dirname, ""info""), ""rb"") as f:"
dask/dask,dask/bag/avro.py,67,OpenFile,NOT_EXPLICIT,False,None,None,open_head,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L67,"    with OpenFile(fs, path, compression=compression) as f:"
dask/dask,dask/bag/avro.py,69,fs.info,NOT_EXPLICIT,False,None,None,open_head,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L69,"    size = fs.info(path)[""size""]"
dask/dask,dask/bag/avro.py,104,get_fs_token_paths,NOT_EXPLICIT,False,None,None,read_avro,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L104,"        fs, fs_token, paths = get_fs_token_paths(             urlpath, mode=""rb"", storage_options=storage_options         )"
dask/dask,dask/bag/avro.py,123,OpenFile,NOT_EXPLICIT,False,None,None,read_avro,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L123,"            f = OpenFile(fs, path, compression=compression)"
dask/dask,dask/bag/avro.py,124,fs_tokenize,NOT_EXPLICIT,False,None,None,read_avro,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L124,"            token = fs_tokenize(                 fs_token, delimiter, path, fs.ukey(path), compression, offset             )"
dask/dask,dask/bag/avro.py,125,fs.ukey,NOT_EXPLICIT,False,None,None,read_avro,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L125,"                fs_token, delimiter, path, fs.ukey(path), compression, offset"
dask/dask,dask/bag/avro.py,136,open_files,NOT_EXPLICIT,False,None,None,read_avro,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L136,"        files = open_files(urlpath, compression=compression, **storage_options)"
dask/dask,dask/bag/avro.py,152,read_block,NOT_EXPLICIT,False,None,None,read_chunk,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L152,"        chunk = read_block(f, off, l, head[""sync""])"
