repository,file_path,line_number,protocol,provider,usage_type,context,file_url,code_snippet
pytorch/pytorch,.ci/lumen_cli/cli/lib/core/torchtitan/lib.py,32,https,Web / HTTP,uri_string,https://github.com/pytorch/torchtitan.git,https://github.com/pytorch/pytorch/blob/main/.ci/lumen_cli/cli/lib/core/torchtitan/lib.py#L32,"repo=""https://github.com/pytorch/torchtitan.git"","
pytorch/pytorch,.ci/lumen_cli/cli/lib/core/vllm/lib.py,50,https,Web / HTTP,uri_string,https://github.com/vllm-project/vllm/commit/{{,https://github.com/pytorch/pytorch/blob/main/.ci/lumen_cli/cli/lib/core/vllm/lib.py#L50,"textwrap.dedent(""""""\"
pytorch/pytorch,.ci/lumen_cli/cli/lib/core/vllm/lib.py,50,https,Web / HTTP,uri_string,https://github.com/pytorch/pytorch/commit/{{,https://github.com/pytorch/pytorch/blob/main/.ci/lumen_cli/cli/lib/core/vllm/lib.py#L50,"textwrap.dedent(""""""\"
pytorch/pytorch,.ci/lumen_cli/cli/lib/core/vllm/lib.py,61,https,Web / HTTP,uri_string,https://github.com/vllm-project/vllm/blob/main/.buildkite/te,https://github.com/pytorch/pytorch/blob/main/.ci/lumen_cli/cli/lib/core/vllm/lib.py#L61,""""""""
pytorch/pytorch,.ci/lumen_cli/cli/lib/core/vllm/lib.py,129,https,Web / HTTP,uri_string,https://api.github.com/repos/pytorch/pytorch/issues/,https://github.com/pytorch/pytorch/blob/main/.ci/lumen_cli/cli/lib/core/vllm/lib.py#L129,"url = f""https://api.github.com/repos/pytorch/pytorch/issues/{_DISABLED_VLLM_TESTS_ISSUE}"""
pytorch/pytorch,.ci/lumen_cli/cli/lib/core/vllm/lib.py,267,https,Web / HTTP,uri_string,https://github.com/vllm-project/vllm.git,https://github.com/pytorch/pytorch/blob/main/.ci/lumen_cli/cli/lib/core/vllm/lib.py#L267,"repo=""https://github.com/vllm-project/vllm.git"","
pytorch/pytorch,.ci/macwheel/repair_wheel.py,21,https,Web / HTTP,uri_string,https://github.com/matthew-brett/delocate/archive/refs/tags/,https://github.com/pytorch/pytorch/blob/main/.ci/macwheel/repair_wheel.py#L21,"DELOCATE_PIN = ""https://github.com/matthew-brett/delocate/archive/refs/tags/0.10.4.zip"""
pytorch/pytorch,.ci/pytorch/windows/build_env_setup.py,80,https,Web / HTTP,uri_string,https://s3.amazonaws.com/ossci-windows/magma_{version}_{pref,https://github.com/pytorch/pytorch/blob/main/.ci/pytorch/windows/build_env_setup.py#L80,"""https://s3.amazonaws.com/ossci-windows/magma_{version}_{prefix}_{build_type}.7z"""
pytorch/pytorch,.ci/pytorch/windows/build_env_setup.py,82,https,Web / HTTP,uri_string,https://s3.amazonaws.com/ossci-windows/sccache.exe,https://github.com/pytorch/pytorch/blob/main/.ci/pytorch/windows/build_env_setup.py#L82,"SCCACHE_URL = ""https://s3.amazonaws.com/ossci-windows/sccache.exe"""
pytorch/pytorch,.ci/pytorch/windows/build_env_setup.py,83,https,Web / HTTP,uri_string,https://s3.amazonaws.com/ossci-windows/sccache-cl.exe,https://github.com/pytorch/pytorch/blob/main/.ci/pytorch/windows/build_env_setup.py#L83,"SCCACHE_CL_URL = ""https://s3.amazonaws.com/ossci-windows/sccache-cl.exe"""
pytorch/pytorch,.ci/pytorch/windows/build_env_setup.py,84,https,Web / HTTP,uri_string,https://github.com/peterjc123/randomtemp-rust/releases/downl,https://github.com/pytorch/pytorch/blob/main/.ci/pytorch/windows/build_env_setup.py#L84,"RANDOMTEMP_URL = ""https://github.com/peterjc123/randomtemp-rust/releases/download/v0.4/randomtemp.exe"""
