Target,File Path,Line,Target Name,Is Descoped (Zero-Copy Ready),Consumer Category,Consumer Name,Descoping Rationale,Enclosing Class,Enclosing Function,File URL
GitHub:pytorch/pytorch (main),.ci/lumen_cli/cli/lib/core/vllm/lib.py,137,resp.read,True,JSON_LOADS,json.loads,Direct in-place consumer 'json.loads' (safe zero-copy candidate),,_load_disabled_vllm_tests_from_github,https://github.com/pytorch/pytorch/blob/main/.ci/lumen_cli/cli/lib/core/vllm/lib.py#L137
GitHub:pytorch/pytorch (main),.ci/pytorch/print_sccache_log.py,7,f.readlines,True,DESCUPED_LOCAL_VARIABLE,lines,Local transient variable 'lines' (ownership discarded at function exit),,,https://github.com/pytorch/pytorch/blob/main/.ci/pytorch/print_sccache_log.py#L7
GitHub:pytorch/pytorch (main),.ci/pytorch/smoke_test/check_wheel_tags.py,36,zf.read,True,CHAINED_TRANSFORMATION,decode,Immediately transformed in-place via .decode(),,_extract_wheel_tags,https://github.com/pytorch/pytorch/blob/main/.ci/pytorch/smoke_test/check_wheel_tags.py#L36
GitHub:pytorch/pytorch (main),.ci/pytorch/windows/_common.py,95,response.read,True,LOCAL_TRANSIENT,local,Local scope execution without explicit escape detected,,download,https://github.com/pytorch/pytorch/blob/main/.ci/pytorch/windows/_common.py#L95
GitHub:pytorch/pytorch (main),.spin/cmds.py,32,file.read,True,LOCAL_TRANSIENT,local,Local scope execution without explicit escape detected,,file_digest,https://github.com/pytorch/pytorch/blob/main/.spin/cmds.py#L32
GitHub:pytorch/pytorch (main),.spin/cmds.py,52,f.readlines,True,DESCUPED_LOCAL_VARIABLE,lines,Local transient variable 'lines' (ownership discarded at function exit),,_read_hashes,https://github.com/pytorch/pytorch/blob/main/.spin/cmds.py#L52
GitHub:pytorch/pytorch (main),aten/src/ATen/native/transformers/hip/flash_attn/ck/fav_v3/generate_aiter_embedded_hsa.py,83,f.read,True,DESCUPED_LOCAL_VARIABLE,data,Local transient variable 'data' (ownership discarded at function exit),,generate_embedded_hsa_header,https://github.com/pytorch/pytorch/blob/main/aten/src/ATen/native/transformers/hip/flash_attn/ck/fav_v3/generate_aiter_embedded_hsa.py#L83
GitHub:pytorch/pytorch (main),functorch/dim/magic_trace.py,35,p.stderr.readline,True,DESCUPED_LOCAL_VARIABLE,x,Local transient variable 'x' (ownership discarded at function exit),,magic_trace,https://github.com/pytorch/pytorch/blob/main/functorch/dim/magic_trace.py#L35
GitHub:pytorch/pytorch (main),functorch/dim/magic_trace.py,45,p.stderr.read,True,DIRECT_CALL_ARGUMENT,print,Passed directly to consumer function 'print',,magic_trace,https://github.com/pytorch/pytorch/blob/main/functorch/dim/magic_trace.py#L45
GitHub:pytorch/pytorch (main),functorch/op_analysis/gen_data.py,28,f.read,True,DIRECT_CALL_ARGUMENT,yaml.load,Passed directly to consumer function 'yaml.load',,gen_data,https://github.com/pytorch/pytorch/blob/main/functorch/op_analysis/gen_data.py#L28
GitHub:pytorch/pytorch (main),tools/amd_build/build_amd.py,195,sources.readlines,True,DESCUPED_LOCAL_VARIABLE,lines,Local transient variable 'lines' (ownership discarded at function exit),,,https://github.com/pytorch/pytorch/blob/main/tools/amd_build/build_amd.py#L195
GitHub:pytorch/pytorch (main),tools/amd_build/build_amd.py,275,sources.readlines,True,DESCUPED_LOCAL_VARIABLE,lines,Local transient variable 'lines' (ownership discarded at function exit),,,https://github.com/pytorch/pytorch/blob/main/tools/amd_build/build_amd.py#L275
GitHub:pytorch/pytorch (main),tools/amd_build/build_amd.py,307,src.readlines,True,DESCUPED_LOCAL_VARIABLE,src_lines,Local transient variable 'src_lines' (ownership discarded at function exit),,,https://github.com/pytorch/pytorch/blob/main/tools/amd_build/build_amd.py#L307
GitHub:pytorch/pytorch (main),tools/amd_build/build_amd.py,311,dst.readlines,True,DESCUPED_LOCAL_VARIABLE,dst_lines,Local transient variable 'dst_lines' (ownership discarded at function exit),,,https://github.com/pytorch/pytorch/blob/main/tools/amd_build/build_amd.py#L311
GitHub:pytorch/pytorch (main),tools/code_analyzer/gen_oplist.py,149,model_list_file.read,True,CHAINED_TRANSFORMATION,split,Immediately transformed in-place via .split(),,main,https://github.com/pytorch/pytorch/blob/main/tools/code_analyzer/gen_oplist.py#L149
